abare^albukhari^altomare^amakudari^amari^anbari^ansari^ari^atari^baccari^baldassare^baldassari^baldassarre^bari^bihari(0)^bihari(1)^bottari^butare(0)^butare(1)^cagliari^calamari^callari^callegari^canevari^centauri^chary^colombari^cribari^cundari^decesare^degutare^dibari^dicesare^dimare^ferrari^funari^furnari^gari^gaspari^gortari^halbutogullari^harare^hari^imari^kuranari^lamarre^lauri(1)^laurie(1)^lazzari^legare^licari^lipari^lohrey^macari^mari^mascari^massari^molinari^montanari^pary^popolare^saari^safari^sari^scolari^shari^sharry^sistare^solari^sorry^starry^tassinari^trifari^ulibarri^valdeshari^vari^vicari^villari^zangari^zarre^zarre^zary,halbutogullari
abolitionism^absenteeism^absolutism^activism^adventurism(0)^adventurism(1)^agrarianism^alcoholism^altruism^amateurism^americanism^anachronism^aneurism(0)^anglo-catholicism^animism^antagonism^anthropomorphism^anti-catholicism(0)^anti-catholicism(1)^antidisestablishmentarianism^aphorism^arianism^astigmatism^atavism^atheism(1)^authoritarianism^autism^baptism^barbarism^bilingualism^bolshevism^boosterism^botulism^buchananism^buddhism^cannibalism^capitalism^careerism^catechism^catholicism^centralism^chauvinism^classicism^collectivism^colonialism^commercialism^communism^confucianism^conservatism^conservativism^consumerism^corporatism^counterterrorism(0)^counterterrorism(1)^creationism^criticism^cronyism^cubism^culturalism^cynicism^dandyism^darwinism^defeatism^deism^despotism^determinism^diamagnetism^diastrophism^dimorphism^dogmatism^druidism^dualism^dwarfism^dynamism^egalitarianism^egoism^egotism^electromagnetism^elitism(0)^elitism(1)^embolism^emotionalism(0)^emotionalism(1)^empiricism^entrepreneurialism^environmentalism(0)^environmentalism(1)^ergotism^eroticism^escapism^ethnocentrism^euphemism^evangelism(0)^evangelism(1)^expansionism(0)^expansionism(1)^expressionism^extremism(0)^extremism(1)^factionalism^fanaticism^fascism^fatalism^favoritism^federalism(0)^federalism(1)^feminism^ferromagnetism^fetishism^feudalism^formalism^fundamentalism(0)^fundamentalism(1)^futurism^geotropism^gnosticism^gradualism^hedonism^hellenism^helotism^heroism^hinduism^hooliganism^humanism^hypnotism^idealism^illusionism^imperialism^impressionism^individualism^intellectualism(0)^intellectualism(1)^internationalism(0)^internationalism(1)^interventionism(0)^interventionism(1)^irredentism^isolationism^isomorphism^jainism^jansenism^jingoism^journalism^judaism(0)^judaism(1)^leftism^legalism^leninism^liberalism(0)^liberalism(1)^lyricism^magnetism^mannerism^marxism^masochism^materialism^mccarthyism^mechanism^mercantilism^mesmerism^metabolism^methodism^microorganism^militarism^minimalism^modalism^modernism^monasticism^monetarism^monism^monotheism^moralism^mormonism(1)^multiculturalism^multilateralism(0)^mutualism^mysticism^narcissism^nationalism^nativism^naturalism(0)^naturalism(1)^nazism^negativism^neopositivism^nepotism^nestorianism^neutralism^nihilism^obstructionism^opportunism^optimism^organism^ostracism^overoptimism^pacifism^paganism^parallelism^parliamentarianism(0)^parochialism^pastoralism^paternalism^patriotism^perfectionism^peronism^pessimism^pharisaism^pietism^plagiarism^pluralism^polymorphism(0)^polytheism^populism^positivism^pragmatism^professionalism^protectionism(0)^protectionism(1)^protestantism^provincialism^pugilism^puritanism^racialism^racism^radicalism^reaganism(0)^reaganism(1)^realism^recidivism^relativism^republicanism^revisionism^rheumatism^romanticism^sadism^satanism^sectarianism^secularism^semitism^sensationalism^separatism^sexism^skepticism^socialism^stalinism^statism^stigmatism^stoicism^supernaturalism^surrealism(0)^surrealism(1)^symbolism^synergism^taoism^territorialism^terrorism^thatcherism^theism^tokenism^totalitarianism^tourism^tribalism(1)^truism^unilateralism^unionism^vandalism^vegetarianism^vigilantism^voluntarism^volunteerism^voyeurism^zionism,abolitionism^agrarianism^americanism^anthropomorphism^colonialism^conservativism^counterterrorism(0)^counterterrorism(1)^diamagnetism^emotionalism(0)^emotionalism(1)^ferromagnetism^fundamentalism(0)^fundamentalism(1)^imperialism^interventionism(0)^interventionism(1)^isolationism^materialism^microorganism^nestorianism^overoptimism^parochialism^professionalism^republicanism^sectarianism^sensationalism
accumulatively(0)^accumulatively(1)^actively^administratively^affectively^affirmatively^aggressively^alternatively^appreciatively(0)^appreciatively(1)^assertively^attentively^attractively^authoritatively^cohesively^collectively^comparatively^competitively^comprehensively^compulsively^conclusively^consecutively^conservatively^constructively^cooperatively^creatively^cumulatively^deceptively^decisively^defensively^definitively^derisively(0)^derisively(1)^distinctively^effectively(0)^effectively(1)^effusively^excessively^exclusively^exhaustively^expensively^explosively^extensively^figuratively^furtively^imaginatively^impassively^impressively^impulsively^inconclusively^inexpensively^instinctively^intensively^intuitively^legislatively^massively^negatively^objectively^obsessively^offensively^passively^persuasively^positively^preemptively^proactively^productively(0)^productively(1)^productively(2)^progressively^prohibitively^prospectively^protectively(0)^protectively(1)^provocatively^qualitatively^reflexively^relatively^respectively^retroactively^retrospectively^seductively^selectively^sensitively^substantively^successively^tentatively(0),accumulatively(0)^accumulatively(1)^administratively^appreciatively(0)^authoritatively^imaginatively
accidental(0)^coincidental^compartmental^continental(0)^dental(0)^departmental(1)^detrimental(0)^developmental(0)^elemental(0)^environmental(0)^experimental(0)^experimental(1)^fundamental(0)^gentle(0)^governmental(1)^incidental^incremental(0)^instrumental(0)^intercontinental^intergovernmental^judgemental^judgmental(0)^lentil^mental^monumental(0)^monumental(2)^nongovernmental^occidental(0)^occidentale^oriental(0)^ornamental^pancontinental^parental^pimental^regimental^rental^sentell^sentimental(0)^sentimental(1)^simental^supplemental(0)^temperamental(0)^temperamental(1)^transcendental(0)^transcontinental(0)^transcontinental(1)^unsentimental^yentl,intercontinental^intergovernmental
actual(0)^casual(0)^heterosexual^homosexual^individual^mutual^perceptual^semiannual(0)^semiannual(1)^semiannual(2)^sensual^spiritual(0)^textual^visual,heterosexual
acetaminophen^altenhofen^dextrathoraphan^entoffen^ludwigshafen^paraffin^tamoxifen^xenophon,acetaminophen
arthritis(0)^bronchitis^detritus(0)^encephalitis^fleitas^gastritis^hepatitis^laryngitis^mastoiditis^meningitis^osteoarthritis^situs^titus^unitas^zemaitis,osteoarthritis
aborigine^accompany^agony^albany^androgyny^anemone(1)^anthony^antigone^antony^balcony^bethany^bimini(0)^botany^boustany^brittany^cacophony^canonie^carmany^co.(1)^colony^compagnie^company^cormany^delany^deloney^destiny^devaney^devany^disharmony^dulaney^ebony^epiphany^euphony^euromoney^felony^gemini(1)^germany^gibboney^giboney^gluttony^harmonie^harmony^hegemony^homogeny^intercompany^intracompany^irony^larceny^litany^luciani^mahany^mahogany^mahony^mcanany^melanie^melany^meroney^monotony^mullaney^mullany^mutiny^nachmany^neoteny^o'melveny^ontogeny^paleobotany^parsippany^peony^phylogeny^polygyny^polyphony^progeny^romany(0)^romany(1)^saucony^saxony^scrutiny^seventy(1)^simony^smartmoney^stefani^stefanie^stephani^stephanie^stephany^symphony^tammany^tiffany^timmeny^timoney^timpani^tuscany^tyranny^whippany^whippany,paleobotany
cabo(1)^eeo^genego(2)^ivo(0)^vo^vo,genego(2)
absorbency^accountancy^agency^ascendancy^ascendency^buoyancy^clemency^cogency^complacency^conservancy^consistency^constancy^constituency^consultancy^contingency^counterinsurgency(0)^counterinsurgency(1)^currency^decency^deficiency^delancey^delancy^delinquency^dependency^despondency^discrepancy^dormancy^efficiency^emergency(0)^emergency(1)^equivalency^exigency^expectancy^expediency^fluency^frequency^hesitancy^immunodeficiency^incompetency^inconsistency^inconstancy^incumbency^indecency^inefficiency^infancy^infrequency^insolvency^insurgency^interagency^irrelevancy^isensee^latency^leniency^malignancy^militancy^nonemergency^occupancy^poignancy^potency^pregnancy^presidency^proficiency^prudency^redundancy^regency^relevancy^residency^resiliency^resurgency(0)^resurgency(1)^self-sufficiency^solvency^stridency^stringency^sufficiency^surrency^tenancy^tendency^transparency^truancy^urgency^vacancy^vagrancy^vibrancy,counterinsurgency(0)^counterinsurgency(1)
