archaeological^archeological^epidemiological^geological^ideological^physiological^radiological^sociological^theological,epidemiological
agrarianism^antidisestablishmentarianism^authoritarianism^egalitarianism^parliamentarianism(0)^sectarianism^totalitarianism^vegetarianism,authoritarianism^egalitarianism^parliamentarianism(0)^totalitarianism
micropaleontology^paleontology,micropaleontology
deoxyribonucleic^ribonucleic,deoxyribonucleic
epidemiologically^ideologically^physiologically^theologically,epidemiologically
denationalization^institutionalization^internationalization(0)^internationalization(1)^rationalization(0)^renationalization,institutionalization^internationalization(0)^internationalization(1)
counterrevolutionary(0)^counterrevolutionary(1)^evolutionary(0)^evolutionary(1)^revolutionary,counterrevolutionary(0)^counterrevolutionary(1)
