abomination^alienation^antidiscrimination(0)^antidiscrimination(1)^assassination^combination^concatenation^contamination^coordination^coronation^culmination^decaffeination^decontamination^denomination^destination(0)^determination^detonation^discrimination^disinclination^dissemination^divination^domination^elimination^emanation^examination^explanation^extermination^fascination^germination^hallucination^hydrogenation^hyphenation^illumination^imagination^impersonation^inclination^incoordination^incrimination^indoctrination^insemination^insubordination^intonation^machination(0)^machination(1)^nomination^ordination^origination^pagination^pollination^predestination^procrastination^profanation^reexamination^rejuvenation^renomination^self-determination^subordination^termination^transillumination^vaccination,antidiscrimination(0)^antidiscrimination(1)
aerien^agrarian^authoritarian^bagdasarian^barbarian^bavarian^berrian^berrien^bilzerian^bulgarian^carrian^carrion^centenarian^clarion^contrarian^darien^disciplinarian^egalitarian^eskandarian^humanitarian(0)^humanitarian(1)^hungarian^kasparian^kazarian^kerien^lauretarian^libertarian^librarian^magarian^majoritarian^marian^marion^markarian^merion^najarian^nazarian^nonsectarian^octogenarian^ovarian^parliamentarian^planarian^proletarian^sectarian^seminarian^septuagenarian^skenderian^terrien^totalitarian^unitarian^utilitarian^varian^vegetarian^veterinarian^veterinarian^wagnerian^wagnerian^zakarian,septuagenarian
anglo-catholicism^anti-catholicism(0)^anti-catholicism(1)^catholicism^empiricism^fanaticism^monasticism^ostracism^romanticism^stoicism,anglo-catholicism^anti-catholicism(0)^anti-catholicism(1)
autobiographical^biographical^geographical^graphical^typographical,autobiographical
abbreviated(1)^affiliated(1)^alleviated(1)^appreciated^appropriated^asphyxiated^delineated^depreciated^deviated^differentiated(0)^emaciated^enunciated^excoriated^expropriated^humiliated^infuriated(1)^initiated(1)^irradiated^mediated^misappropriated^negotiated(1)^permeated^radiated(1)^recreated(0)^renegotiated^repatriated^retaliated(0)^retaliated(1)^substantiated(0)^substantiated(1)^unaffiliated^unappreciated^undifferentiated^uninitiated^uninitiated^unsubstantiated,undifferentiated
criminalize^deinstitutionalize^denationalize^depersonalize(0)^fictionalize^institutionalize^internationalize(0)^internationalize(1)^marginalize^nationalize(0)^personalize^professionalize^rationalize^regionalize^renationalize,deinstitutionalize
cytomegalovirus^retrovirus,cytomegalovirus
chronically(0)^clinically(0)^comically(0)^critically(0)^cynically(0)^diametrically(0)^dramatically(1)^electrically(0)^electronically(0)^emphatically(1)^empirically(0)^ethically(0)^fanatically(0)^forensically(1)^geographically(0)^hermetically(0)^historically(0)^intrinsically(0)^journalistically(0)^magically(0)^magnetically(0)^majestically(0)^mathematically(0)^medically(1)^methodically(0)^metrically^mineralogically(0)^optimistically(0)^parenthetically(0)^pathetically(0)^periodically(0)^philosophically(0)^physically(0)^politically(0)^pragmatically(0)^ritualistically(0)^romantically(0)^sardonically(0)^scientifically(0)^skeptically(0)^statistically(0)^surgically(0)^symbolically(0)^sympathetically(0)^tactically^technically(0)^technologically(0)^theatrically(0)^theoretically(0)^therapeutically(0)^typically(1)^uncritically(0),mineralogically(0)^ritualistically(0)
analyzes^brutalizes^capitalizes^crystallizes^demobilizes^departmentalizes^equalizes^fertilizes^finalizes^formalizes^idolizes^immortalizes^institutionalizes^liberalizes(0)^liberalizes(1)^marginalizes^materializes^monopolizes^nationalizes(0)^nationalizes(1)^naturalizes(0)^naturalizes(1)^neutralizes^normalizes^paralyzes^penalizes(0)^penalizes(1)^personalizes^pluralizes^realizes(0)^specializes(1)^stabilizes(1)^sterilizes^symbolizes(1)^tantalizes(0)^trivializes(0)^trivializes(1)^utilizes,institutionalizes
advertorial^ambassadorial^arboreal^conspiratorial^correale^curatorial^dictatorial^directorial(0)^directorial(1)^directorial(2)^directorial(3)^editorial^equatorial^extraterritorial^flonorial^gubernatorial^immemorial^janitorial^memorial^morial^nomenclatorial^pictorial^professorial^prosecutorial^raptorial^reportorial^sartorial^senatorial^territorial^tutorial,extraterritorial
